FilterProfileService filterID WavelengthUnit WavelengthUCD PhotSystem DetectorType Band Instrument Facility ProfileReference CalibrationReference Description Comments WavelengthRef WavelengthMean WavelengthEff WavelengthMin WavelengthMax WidthEff WavelengthCen WavelengthPivot WavelengthPeak WavelengthPhot FWHM Fsun PhotCalID MagSys ZeroPoint ZeroPointUnit Mag0 ZeroPointType AsinhSoft TrasmissionCurve
ivo://svo/fps JWST/NIRCam2025.F162M Angstrom em.wl NIRCam2025 1 F162M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F162M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 16272.219144516 16296.337085115 16243.082248734 14981.200346964 17632.448917187 1619.1218467655 16279.621906062 16272.219144516 16954.000244140625 16259.246688669 1708.8602386074 23.381253552595 JWST/NIRCam2025.F162M/Vega Vega 1023.0582366514 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F162M
ivo://svo/fps JWST/NIRCam.F162M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F162M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 16272.470828066 16296.590457303 16243.330063859 15126.159604123 17439.174281297 1626.2931600626 16279.44469614 16272.470828066 16954.0 16259.497388533 1710.0509900877 23.379801780551 JWST/NIRCam.F162M/Vega Vega 1023.0385411698 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F162M
ivo://svo/fps JWST/NIRCam2025.F164N Angstrom em.wl NIRCam2025 1 F164N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F164N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 16445.078938853 16445.66801657 16445.890435124 16126.213411425 16764.386766047 200.22402480336 16443.717152984 16445.078938853 16454.00024414062 16446.297908462 178.84962494379 22.758427924367 JWST/NIRCam2025.F164N/Vega Vega 985.5182880916 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F164N
ivo://svo/fps JWST/NIRCam.F164N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F164N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 16445.362304472 16445.953951204 16446.179233607 16171.410441496 16717.719150987 200.10135928626 16443.915873312 16445.362304472 16454.0 16446.588351547 178.80546638652 22.757987154832 JWST/NIRCam.F164N/Vega Vega 985.57767369197 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F164N
ivo://svo/fps JWST/NIRCam.F150W2 Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F150W2 filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 16592.114851269 17865.566963247 14793.713184492 9774.7126497213 23946.869516933 9389.1567466481 18162.989131619 16592.114851269 21320.0 15665.709458518 10382.434508848 21.401406494905 JWST/NIRCam.F150W2/Vega Vega 1149.9431838877 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F150W2
ivo://svo/fps JWST/NIRCam2025.F150W2 Angstrom em.wl NIRCam2025 1 F150W2 NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F150W2 filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 16720.159481027 18058.487450949 14840.944112182 8534.7543262036 23809.989969982 8947.3014636296 18644.046211164 16720.159481027 23780.0 15748.212827953 10321.87755942 20.950001611492 JWST/NIRCam2025.F150W2/Vega Vega 1142.7811371095 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F150W2
ivo://svo/fps JWST/NIRCam.F182M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F182M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 18451.671760304 18494.295108627 18388.832224161 16959.531571562 20010.965690062 2250.8124936959 18451.438545284 18451.671760304 19515.0 18417.178838828 2450.0535142807 15.346268463819 JWST/NIRCam.F182M/Vega Vega 844.94329283811 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F182M
ivo://svo/fps JWST/NIRCam2025.F182M Angstrom em.wl NIRCam2025 1 F182M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F182M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 18452.131880408 18494.730780294 18389.338430722 16756.628391637 20231.476712321 2253.6451839065 18451.65317294 18452.131880408 19515.0 18417.672606759 2449.8330679902 15.344785122305 JWST/NIRCam2025.F182M/Vega Vega 844.904894178 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F182M
ivo://svo/fps JWST/NIRCam.F187N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F187N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 18738.986047596 18739.646084758 18737.223679202 18445.2839062 19029.975310351 236.68645056505 18738.831571338 18738.986047596 18732.0 18737.681771247 211.39649471002 14.240182596606 JWST/NIRCam.F187N/Vega Vega 794.84815933828 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F187N
ivo://svo/fps JWST/NIRCam2025.F187N Angstrom em.wl NIRCam2025 1 F187N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F187N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 18740.527001232 18741.185882823 18738.831297753 18395.668131119 19087.484804772 236.39754494433 18740.4734779 18740.527001232 18731.99951171875 18739.288746534 211.28888929485 14.235194038849 JWST/NIRCam2025.F187N/Vega Vega 794.63869040863 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F187N
ivo://svo/fps JWST/NIRCam2025.F200W Angstrom em.wl NIRCam2025 1 F200W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F200W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 19876.007835406 20017.496063949 19670.765947464 17078.397354474 22812.095943444 4313.0262524292 19929.899251055 19876.007835406 22053.9990234375 19764.771097121 4701.3830595228 11.936804602106 JWST/NIRCam2025.F200W/Vega Vega 758.30081985129 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F200W
ivo://svo/fps JWST/NIRCam.F200W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F200W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 19886.483516935 20028.146492527 19680.4102017 17249.082485184 22596.641972191 4190.389872561 19920.758215355 19886.483516935 22044.0 19774.84108433 4689.4034095684 11.914876030378 JWST/NIRCam.F200W/Vega Vega 757.65380461946 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F200W
ivo://svo/fps JWST/NIRCam.F210M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F210M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 20954.513115415 20982.217923787 20908.350068007 19618.544672231 22337.285421049 2055.3790735177 20970.264415414 20954.513115415 21396.0 20926.742039461 2092.9556602331 9.8109724045601 JWST/NIRCam.F210M/Vega Vega 688.03251394796 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F210M
ivo://svo/fps JWST/NIRCam2025.F210M Angstrom em.wl NIRCam2025 1 F210M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F210W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 20955.942893139 20983.574549524 20909.898009414 19446.548767706 22523.00887153 2050.7358811738 20970.688520175 20955.942893139 21396.0009765625 20928.246144237 2092.0751716425 9.8086344550884 JWST/NIRCam2025.F210M/Vega Vega 687.94995436994 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F210M
ivo://svo/fps JWST/NIRCam2025.F212N Angstrom em.wl NIRCam2025 1 F212N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F212N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 21212.424174796 21213.212664027 21211.174459698 20843.645086664 21581.655604505 274.09228075426 21216.196311114 21212.424174796 21223.00048828125 21211.700548836 245.92600518134 9.4036187116685 JWST/NIRCam2025.F212N/Vega Vega 674.87852898011 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F212N
ivo://svo/fps JWST/NIRCam.F212N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F212N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 21213.18248472 21213.973774212 21211.927274831 20900.932977763 21524.994634265 274.27440340689 21216.958037587 21213.18248472 21233.0 21212.45522847 246.02475633297 9.4024271302203 JWST/NIRCam.F212N/Vega Vega 674.83167374035 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F212N
ivo://svo/fps JWST/NIRCam2025.F250M Angstrom em.wl NIRCam2025 1 F250M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F250M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 25031.232421915 25048.358919377 25004.613048805 23818.11111517 26367.866485217 1781.0224303706 25034.892780314 25031.232421915 25532.53573 25016.035396656 1825.7453774834 5.055944754889 JWST/NIRCam2025.F250M/Vega Vega 504.69435068615 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F250M
ivo://svo/fps JWST/NIRCam.F250M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F250M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 25032.325766786 25049.391569476 25005.80077427 23935.493008153 26177.908427773 1782.9583911921 25035.347980395 25032.325766786 25496.5 25017.183531601 1824.9614459531 5.0551974588382 JWST/NIRCam.F250M/Vega Vega 504.65113524699 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F250M
ivo://svo/fps JWST/NIRCam.F277W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F277W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 27617.398037931 27844.642741698 27278.576094025 23673.124318244 32203.222514802 6614.6091124143 27762.830081588 27617.398037931 28991.3 27428.886303298 7064.6352975589 3.5910862170117 JWST/NIRCam.F277W/Vega Vega 430.1399020248 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F277W
ivo://svo/fps JWST/NIRCam2025.F277W Angstrom em.wl NIRCam2025 1 F277W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F277W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 27762.103503119 27996.245895647 27410.006654155 23526.613457452 32749.869313841 6062.297905074 27813.269080354 27762.103503119 30876.834130000003 27566.688197136 7006.0034673624 3.5248148350861 JWST/NIRCam2025.F277W/Vega Vega 426.47543602624 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F277W
