FilterProfileService filterID WavelengthUnit WavelengthUCD PhotSystem DetectorType Band Instrument Facility ProfileReference CalibrationReference Description Comments WavelengthRef WavelengthMean WavelengthEff WavelengthMin WavelengthMax WidthEff WavelengthCen WavelengthPivot WavelengthPeak WavelengthPhot FWHM Fsun PhotCalID MagSys ZeroPoint ZeroPointUnit Mag0 ZeroPointType AsinhSoft TrasmissionCurve
ivo://svo/fps JWST/NIRCam.F300M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F300M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 29891.21134832 29940.444469418 29818.319259518 27703.546039978 32505.920390405 3255.5781627185 29930.663423494 29891.21134832 29051.5 29850.934233443 3276.8424330832 2.6519147041501 JWST/NIRCam.F300M/Vega Vega 369.64763495866 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F300M
ivo://svo/fps JWST/NIRCam2025.F300M Angstrom em.wl NIRCam2025 1 F300M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F300M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 29960.88593691 30009.312788839 29888.738683042 27386.667962736 32925.293286863 3052.8725028559 29947.095948373 29960.88593691 31240.47086 29921.083858693 3239.3516540978 2.628584543393 JWST/NIRCam2025.F300M/Vega Vega 368.09433159685 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F300M
ivo://svo/fps JWST/NIRCam2025.F323N Angstrom em.wl NIRCam2025 1 F323N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F323N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 32367.488849012 32368.239715717 32366.262805848 31928.226706806 32921.258850944 384.60874575664 32359.132873322 32367.488849012 32348.480639999998 32366.762393395 386.2960824742 1.9589204951998 JWST/NIRCam2025.F323N/Vega Vega 320.96412663088 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F323N
ivo://svo/fps JWST/NIRCam.F323N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F323N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 32368.534888242 32369.286671264 32367.304317143 32046.288196528 32761.073117067 384.88993856761 32359.768130498 32368.534888242 32348.5 32367.804453319 386.35931499885 1.9586665955606 JWST/NIRCam.F323N/Vega Vega 320.94274667646 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F323N
ivo://svo/fps JWST/NIRCam.F322W2 Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F322W2 filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 32319.755057761 33334.921422542 30731.382702291 23851.44946962 41234.693242206 11332.545275066 32537.813005081 32319.755057761 39415.4 31420.399418885 15196.730756689 2.0989606942145 JWST/NIRCam.F322W2/Vega Vega 343.30232528434 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F322W2
ivo://svo/fps JWST/NIRCam2025.F322W2 Angstrom em.wl NIRCam2025 1 F322W2 NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F322W2 filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 32467.823281829 33451.422924457 30911.980989935 23672.131177907 41826.370233966 11161.469807826 33716.445832949 32467.823281829 39415.421070000004 31590.075761406 12849.358954648 2.059615391132 JWST/NIRCam2025.F322W2/Vega Vega 339.8794599283 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F322W2
ivo://svo/fps JWST/NIRCam.F335M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F335M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 33620.673080026 33675.235591391 33537.232322948 31203.356330494 36442.229352719 3389.4183845554 33593.663526404 33620.673080026 34942.8 33573.673638078 3576.0001863291 1.6975152259093 JWST/NIRCam.F335M/Vega Vega 298.90992108194 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F335M
ivo://svo/fps JWST/NIRCam2025.F335M Angstrom em.wl NIRCam2025 1 F335M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F335M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 33622.48141364 33677.093382576 33538.812848321 30709.842518752 37370.32902238 3350.5715258039 33587.610358031 33622.48141364 34915.820380000005 33575.330518008 3568.2035640485 1.6972567048421 JWST/NIRCam2025.F335M/Vega Vega 298.92078035384 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F335M
ivo://svo/fps JWST/NIRCam2025.F356W Angstrom em.wl NIRCam2025 1 F356W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F536W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 35654.767044235 35909.250455916 35252.510783025 30288.58546339 41495.346143517 7278.9296417167 35626.542947776 35654.767044235 38658.73146 35423.910891377 8383.8209241554 1.3721716071206 JWST/NIRCam2025.F356W/Vega Vega 271.89282827823 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F356W
ivo://svo/fps JWST/NIRCam.F356W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F356W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 35683.619450209 35934.4889657 35287.040491722 30732.911625808 40801.258504962 7239.2951464142 35652.157449383 35683.619450209 38604.7 35456.170831334 8326.8074712862 1.36754014167 JWST/NIRCam.F356W/Vega Vega 271.3926286675 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F356W
ivo://svo/fps JWST/NIRCam2025.F360M Angstrom em.wl NIRCam2025 1 F360M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F360M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 36233.565660211 36290.234030888 36140.254220207 32863.509224066 39576.251069131 3605.1240993115 36214.42404182 36233.565660211 37483.16011 36178.139917133 3863.1628553717 1.272863710864 JWST/NIRCam2025.F360M/Vega Vega 260.42623323736 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F360M
ivo://svo/fps JWST/NIRCam.F360M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F360M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 36241.760882275 36298.097588999 36148.930726857 33260.335540832 39037.393933034 3584.7956145675 36217.330681244 36241.760882275 37456.1 36186.621637174 3855.305234812 1.2716930639146 JWST/NIRCam.F360M/Vega Vega 260.30648962313 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F360M
ivo://svo/fps JWST/NIRCam.F405N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F405N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 40516.525496821 40517.390303609 40515.758914405 40097.867457833 40966.099971704 454.87184788608 40514.332602433 40516.525496821 40523.4 40516.343119312 460.05555259099 0.81999477112789 JWST/NIRCam.F405N/Vega Vega 206.96939908611 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F405N
ivo://svo/fps JWST/NIRCam2025.F405N Angstrom em.wl NIRCam2025 1 F405N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F405N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 40531.182457347 40532.060431197 40530.61263945 39904.706488326 41196.222129751 457.28415663065 40529.033419326 40531.182457347 40536.943159999995 40531.205832217 463.08943694641 0.81895076258916 JWST/NIRCam2025.F405N/Vega Vega 206.9543995285 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F405N
ivo://svo/fps JWST/NIRCam.F410M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F410M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 40822.380379117 40886.543870603 40723.184168815 37763.560510417 44048.409052071 4262.8579023938 40848.595772652 40822.380379117 42050.3 40766.07870333 4351.6499114491 0.80371529679638 JWST/NIRCam.F410M/Vega Vega 208.75045059896 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F410M
ivo://svo/fps JWST/NIRCam2025.F410M Angstrom em.wl NIRCam2025 1 F410M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F410M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 40829.730985788 40893.815501159 40730.665110992 37235.697041463 44703.222619164 4252.3987455261 40852.112741513 40829.730985788 41982.7608 40773.522460967 4344.7854804353 0.80315322743529 JWST/NIRCam2025.F410M/Vega Vega 208.68097791693 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F410M
ivo://svo/fps JWST/NIRCam.F430M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F430M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 42812.575646101 42829.393603083 42784.78806412 41227.683101414 44448.787236365 2295.1444214116 42832.58018141 42812.575646101 42482.7 42795.894458171 2315.3069368744 0.6488094267775 JWST/NIRCam.F430M/Vega Vega 190.69659340759 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F430M
ivo://svo/fps JWST/NIRCam2025.F430M Angstrom em.wl NIRCam2025 1 F430M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F430M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 42812.953575191 42829.726415101 42785.234200961 40914.410717983 44799.717187029 2302.6443507701 42832.856634164 42812.953575191 42469.20412000001 42796.310832276 2315.5799407607 0.64882617140486 JWST/NIRCam2025.F430M/Vega Vega 190.69626829436 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F430M
ivo://svo/fps JWST/NIRCam2025.F444W Angstrom em.wl NIRCam2025 1 F444W NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F444W filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 44017.521510541 44365.437973325 43482.95163646 37501.139689008 51838.277447669 10583.22312335 44389.624824727 44017.521510541 43523.16464 43708.74854011 11108.093261046 0.57955400331281 JWST/NIRCam2025.F444W/Vega Vega 184.27302188194 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F444W
ivo://svo/fps JWST/NIRCam.F444W Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F444W filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 44043.150837738 44393.515120525 43504.264673627 38039.572043804 50995.5 10676.002928393 44405.491515008 44043.150837738 43523.2 43732.035994545 11144.052434142 0.57820726511534 JWST/NIRCam.F444W/Vega Vega 184.1022219016 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F444W
ivo://svo/fps JWST/NIRCam2025.F460M Angstrom em.wl NIRCam2025 1 F460M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F460M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 46296.018699166 46312.270293173 46266.641641215 44239.295420284 48639.360630575 2302.1945832281 46316.037851419 46296.018699166 45860.795029999994 46277.515342704 2326.3132754171 0.43547651920307 JWST/NIRCam2025.F460M/Vega Vega 164.13333976548 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F460M
ivo://svo/fps JWST/NIRCam.F460M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F460M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 46299.277451031 46315.567661685 46269.863826257 44652.640201372 48146.405666279 2308.9976097615 46317.872804161 46299.277451031 45860.8 46280.765417962 2329.5607509154 0.43536278814704 JWST/NIRCam.F460M/Vega Vega 164.1099180149 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F460M
ivo://svo/fps JWST/NIRCam2025.F466N Angstrom em.wl NIRCam2025 1 F466N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F466N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 46543.989202128 46544.991423684 46540.155504055 45721.654303591 47258.812941145 536.27011820241 46548.276801166 46543.989202128 46576.94769 46540.83504839 520.56715468961 0.42618124334676 JWST/NIRCam2025.F466N/Vega Vega 157.78042808042 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F466N
ivo://svo/fps JWST/NIRCam.F466N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F466N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 46544.303736584 46545.305761355 46540.477222667 46021.350197247 47042.621884854 535.40523943323 46548.339825337 46544.303736584 46563.4 46541.156644092 520.35830830914 0.42613770545148 JWST/NIRCam.F466N/Vega Vega 157.77306515275 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F466N
ivo://svo/fps JWST/NIRCam.F470N Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F470N filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 47077.912373555 47078.819812928 47077.839401996 46553.98481001 47566.821551396 510.27235458608 47081.607869655 47077.912373555 47076.9 47078.439899243 494.58838389155 0.41566639580181 JWST/NIRCam.F470N/Vega Vega 159.49947070015 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F470N
ivo://svo/fps JWST/NIRCam2025.F470N Angstrom em.wl NIRCam2025 1 F470N NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F470N filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 47077.932400705 47078.837423772 47077.859298985 46362.387367568 47797.434750715 510.78129907083 47081.580944192 47077.932400705 47063.39100999999 47078.458175686 495.27477914913 0.4156811451004 JWST/NIRCam2025.F470N/Vega Vega 159.50017549944 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F470N
ivo://svo/fps JWST/NIRCam2025.F480M Angstrom em.wl NIRCam2025 1 F480M NIRCam JWST https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters#gsc.tab=0 "" "NIRCam  F480M filter . Updated Feb 2025" "includes contributions from the JWST Optical Telescope Element (OTE), NIRCam optical train, dichroics, filters, and detector quantum efficiency (QE)." 48165.493346706 48196.695100548 48122.975247008 45326.058949021 50995.474500000004 3098.5913775353 48199.159349417 48165.493346706 47103.92795 48143.490848906 3155.3530654367 0.38381241079838 JWST/NIRCam2025.F480M/Vega Vega 153.30290656538 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam2025.F480M
ivo://svo/fps JWST/NIRCam.F480M Angstrom em.wl NIRCam 1 "" NIRCam JWST https://jwst-docs.stsci.edu/display/JTI/NIRCam+Filters "" "NIRCam F480M filter" "includes NIRCam optics, DBS, QE and JWST Optical Telescope Element" 48181.945913954 48213.27199619 48139.105123907 45820.0235722 50919.019359765 3141.3708247124 48224.877085394 48181.945913954 47117.4 48159.715297841 3197.4526630828 0.38335792706566 JWST/NIRCam.F480M/Vega Vega 153.22388044927 Jy 0.0 Pogson 0.0 http://svo2.cab.inta-csic.es//theory/fps/fps.php?ID=JWST/NIRCam.F480M
