Filter    Wave         SCA    BestSig_EE    BestSig_sub
 F182M    1.85       NRCB3          0.26           0.22
 F182M    1.85       NRCB4          0.23           0.21
 F187N    1.87       NRCB1          0.32           0.23
 F187N    1.87       NRCB2          0.31           0.23
 F187N    1.87       NRCB3          0.21           0.23
 F187N    1.87       NRCB4           0.3           0.21
 F200W     2.0       NRCB1          0.25           0.23
 F200W    1.99       NRCB2          0.29           0.23
 F200W    1.99       NRCB3          0.29           0.23
 F200W    1.99       NRCB4          0.26           0.23
 F210M     2.1       NRCB1          0.29           0.23
 F210M     2.1       NRCB2          0.24           0.23
 F210M     2.1       NRCB3          0.26           0.21
 F210M     2.1       NRCB4          0.24           0.22
 F212N    2.12       NRCB1          0.29           0.24
 F212N    2.12       NRCB2          0.25           0.24
 F212N    2.12       NRCB3          0.31           0.23
 F212N    2.12       NRCB4          0.19           0.22
 F250M     2.5    NRCBLONG          0.35           0.32
 F277W    2.79    NRCBLONG          0.44            0.4
 F300M     3.0    NRCBLONG          0.34           0.33
 F323N    3.24    NRCBLONG          0.25           0.31
 F335M    3.37    NRCBLONG          0.34           0.32
 F356W    3.57    NRCBLONG          0.36           0.34
 F360M    3.62    NRCBLONG          0.35           0.32
 F410M    4.09    NRCBLONG          0.32           0.31
 F430M    4.28    NRCBLONG           0.3           0.32
 F444W    4.43    NRCBLONG          0.33           0.31
 F405N    4.06    NRCBLONG          0.14           0.29
 F466N    4.65    NRCBLONG          0.35           0.34
 F470N    4.71    NRCBLONG          0.29           0.29
 F460M    4.63    NRCBLONG           0.3           0.32
 F480M    4.84    NRCBLONG          0.29           0.31
