SCI_SPTYPE,A0V,A1V,A3V,A5V,F0V,F2V,F5V,F8V,G0V,G2V,G5V,G8V,K0V,K2V,K5V,K7V,M0V,M2V,M5V,M6V,M9V
G5V,0.15086546517787025,0.1212164490009425,0.1185152932704843,0.09234857037501369,0.04816804767264604,0.04513021090258061,0.038579194798023714,0.014320361166891695,0.0031078617695056315,0.010002951177570073,0.0,0.00809166467280003,0.0009982450815204612,0.010810147799845925,0.2228752285492763,0.6689622361437417,0.8972573194741826,1.2350164663731447,1.7259766806512844,2.0464071833689363,2.080397423983377
G2V,0.11241144776923451,0.08427788739296137,0.08102482158870676,0.05772862656975956,0.020615745002867523,0.018104996868594465,0.012925362141283285,0.0004635182089089609,0.0025985678069096073,0.0,0.00999300843749431,0.0272895721333939,0.014702870854398257,0.031144722235533905,0.2615899947074325,0.7001501822392022,0.92305924424524,1.2541886881544624,1.738212808229994,2.055329550981601,2.089003294382234
G0V,0.1278476500310214,0.09898091802100306,0.09599715227483664,0.07157072872981708,0.03103329622479788,0.02834969326427447,0.022714166021471395,0.0050003997211249835,0.0,0.002600615742099542,0.0031071382757085486,0.018449144803660947,0.006898963044809245,0.02212586383668357,0.24633154524176337,0.6869190486819094,0.9122542862167194,1.246275821695432,1.733241427506196,2.0518397890591515,2.0856605148143776
F8V,0.10421354379477593,0.07642200040562822,0.07323680865959943,0.050640160988606506,0.0159761916021656,0.013677346166988052,0.009028900708774637,0.0,0.00499553276505927,0.00046342707388295296,0.01430365395035216,0.0331977778699414,0.01969665814443348,0.037216251028788026,0.26927474071785407,0.706207010004454,0.9281299667591707,1.2579860970639347,1.7406636034952225,2.0571155750447723,2.0907173823625946
F5V,0.06985558056446588,0.042265325133281795,0.041308967693194976,0.020605828527122238,0.0012299193483767733,0.0006014071106015081,0.0,0.0090280272094035,0.02269110811748669,0.012921689387009827,0.03853364917030365,0.06463460511942962,0.046960917770737805,0.06940162183413695,0.302633563674766,0.7301273522046448,0.9484045517306836,1.2734823734603182,1.7509291861557463,2.064857817351774,2.0981697243031374
F2V,0.06353724893506224,0.03565144327758513,0.035731386463752665,0.01508438595085729,0.00011236238785855356,0.0,0.0006014799561947243,0.013677627974627607,0.028324496975788642,0.018102005079222532,0.04508254538966398,0.07253017204729817,0.05407823909925724,0.077430316087316,0.30951281192727337,0.7345680725728652,0.9522062239657848,1.2764400709275976,1.7529397545849033,2.0664189342716837,2.0996727615243387
F0V,0.06094808453966018,0.032979524771982106,0.033521036111569924,0.012964673579656593,0.0,0.00011236830390491095,0.0012301324692846065,0.015977315972963767,0.03100739511875064,0.020613379293711872,0.04811973608859494,0.07609523183138069,0.057339986313440186,0.0810459287184497,0.3125411765535962,0.7365111185275215,0.9538674820348964,1.2777299106784226,1.7538154520933613,2.06709804133857,2.1003263054257233
A5V,0.0299911855300845,0.007422332599372664,0.01126812366896452,0.0,0.012962196431311721,0.015082278704795598,0.02060533872182315,0.05063467468866149,0.07150463536355117,0.05771279228229087,0.09224955656877769,0.1239669078851939,0.10316888075156302,0.12920055615558895,0.35438830712894853,0.7657942995195437,0.9786877934202958,1.2966237738626867,1.7663270192775535,2.0764624868511077,2.1093046264134454
A3V,0.006289549028870261,0.002008584473241163,0.0,0.011267440996984004,0.03351312676950177,0.03572468020950277,0.041305736599591275,0.07322546327257325,0.09590815218690579,0.0809995618744962,0.11838868912566569,0.1530067916642901,0.1304650428584472,0.15856806976497248,0.38376621652091353,0.7876079736741675,0.9977568859729589,1.3112029984935174,1.7759070643421435,2.0836722288153218,2.116257956965045
A1V,0.009593553301363498,0.0,0.0020088314796321343,0.007422770413402839,0.03297539214015366,0.0356486892852377,0.042266639768732975,0.07641796466415855,0.09889903329097582,0.08426014191549826,0.12109855627652898,0.15536304098213954,0.1330783757688529,0.16084153387999972,0.3828046802684381,0.7859180333382615,0.9961904295679627,1.3100344643454176,1.775222878084698,2.083173536446143,2.1157499386219785
A0V,0.0,0.00959100212625037,0.006288613904388165,0.029985357263260404,0.06092689864181675,0.0635180605854982,0.06984171759204948,0.10418609871099051,0.12772124395544576,0.11236540579523482,0.1506961036411394,0.1860725730060003,0.16314085238424067,0.19165803222838104,0.41170339994440197,0.8073525735040287,1.014707704568254,1.324119258712657,1.784437282217585,2.090050186505736,2.122377728657665
