SCI_SPTYPE,A0V,A1V,A3V,A5V,F0V,F2V,F5V,F8V,G0V,G2V,G5V,G8V,K0V,K2V,K5V,K7V,M0V,M2V,M5V,M6V,M9V
M9V,2.0365987465178277,2.038439199929446,2.0406092605181243,2.0411171206010152,2.0411631821515437,2.0407970321888587,2.0395722253504505,2.002590145565498,1.965033262762166,1.990933019287258,1.9003373896233784,1.7977449740538005,1.8667012112326555,1.7803963981708124,1.4494577941053155,1.4851868018451206,1.5758517290491136,1.6041753415520383,1.46720269221339,0.4821889689075906,0.0
M6V,1.873272472118537,1.8754056646868313,1.8779169704353444,1.8785089284937424,1.878565080696435,1.878141418879406,1.8767227082760993,1.8337747036517245,1.7898752744962854,1.8201747263284092,1.7137660468600209,1.591267042795692,1.6737945330613881,1.5703740599503782,1.1596187336677692,1.2048389452413228,1.3188307897836438,1.3540582860371568,1.180048590204787,0.0,0.48188576168965047
M5V,1.2745876325060244,1.27824346848775,1.2826025733412452,1.283599567316155,1.2836989896083262,1.2829611634191274,1.2805097678041888,1.2057427838631192,1.1284995287796398,1.1819731093546637,0.9877980691181554,0.7514394623521861,0.9130099528501522,0.7073018455167313,0.04293598267251737,0.031075820543585646,0.1660933591807942,0.23495632485941537,0.0,1.1770274870173023,1.4634660412714473
M2V,1.0899886913331966,1.0942518637026086,1.0993386875494726,1.1004770154604957,1.1005156193745136,1.099636824684502,1.0967288749960096,1.0081950994072384,0.9162338920398905,0.9799641774975175,0.7460460335630116,0.46030168719094017,0.6555508764649985,0.40606035188382095,0.2885003595891091,0.20191728187700317,0.016605970722858257,0.0,0.2349781681731654,1.3509542601760098,1.6004071884586812
M0V,1.1338655864468212,1.1379695195860877,1.142873247652019,1.1439616918416449,1.1439868224975673,1.1431376542042204,1.1403313943980613,1.0550537343538344,0.9668089585130858,1.0279413392794912,0.8036522884020372,0.5298497972357483,0.7172441463092023,0.4774990666294879,0.21293956421063842,0.1303553334217745,0.0,0.01660311323110481,0.166086817967642,1.3156735537515074,1.5720180977757103
K7V,1.2568029107201073,1.2605180261563176,1.2650085174646333,1.2659842202178837,1.2660434252892039,1.2652751112538918,1.2627485049184242,1.1861296084410329,1.108253884792643,1.162114982180886,0.9642185451814997,0.7281713174495956,0.8900373163456299,0.6822394761956754,0.022284506023168248,0.0,0.13002255534763174,0.20141675403689235,0.030983289151445936,1.2004384318932875,1.4799875302191776
K5V,1.2996332902554184,1.3032100689088641,1.307539229615058,1.3084730822766175,1.3085309418133952,1.3077911292442486,1.3053592540030676,1.231635881221477,1.1568580034544604,1.2085646331823885,1.0189177303510575,0.7935748795413123,0.9480623918873012,0.7499076024285762,0.0,0.022286120524746635,0.21245866527281754,0.28786326760434827,0.0428134344394156,1.155308955484993,1.4443289619726665
K2V,0.7440010973294093,0.7495441128383323,0.7560016910053725,0.7574909750019574,0.7574606035453946,0.7563297974505074,0.7525437494090313,0.636379522184758,0.5107183419243582,0.5980704159332432,0.2890171144482424,0.009498147718512769,0.17159897491233003,0.0,0.7527689031245488,0.6849959250470711,0.4788991538523876,0.40728219363097556,0.709020243086568,1.5694059763655792,1.7788734548578458
K0V,0.5041228479500882,0.5106431340706843,0.5182542524326801,0.5200018257515386,0.5199656401081776,0.5186305370722709,0.5141673804876232,0.3787376100039789,0.2373909000300112,0.33476877574242436,0.04213159895447071,0.12277849699451424,0.0,0.17143759397410735,0.9507667077775283,0.8926994710793524,0.7185755437553558,0.6567639468853419,0.9144773327641765,1.672238938099386,1.864576152666845
G8V,0.7015462687699291,0.707224303190916,0.7137753054731538,0.7153147998933297,0.7152519774920794,0.7140974458123004,0.7102146556642719,0.59120376549131,0.4613832663882739,0.5516446822429759,0.23932904595956878,0.0,0.12300441321023892,0.009507631392399568,0.7968849070455142,0.7313748566497797,0.5316385550799381,0.4618992704147967,0.7535708327054607,1.5907726097677268,1.79670997186515
